session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-06-02,09:45,CRCLUSDT,SHORT,100.56,103.0798,95.5204,508.7923,1499.9067,1486.8522,-12.7492,0.3053,-13.0545,-1.0,loss,100.56,102.73,0.023932,ob_prox
2026-06-04,15:30,CRCLUSDT,SHORT,91.23,92.2182,89.2536,1166.7379,1486.8522,1491.3957,5.2435,0.7,4.5435,0.4149,session_close,91.23,91.84,0.009811,ob_prox
2026-06-05,10:45,CRCLUSDT,SHORT,83.19,84.8767,79.8167,625.2513,1491.3957,1516.3742,25.3537,0.3752,24.9785,2.0,win,83.19,84.48,0.028785,ob_prox
2026-06-11,09:45,CRCLUSDT,LONG,80.58,79.2421,83.2558,776.2935,1516.3742,1541.6868,25.7784,0.4658,25.3126,2.0,win,79.61,80.58,0.02753,ob_prox
2026-06-18,09:30,CRCLUSDT,SHORT,81.23,82.0196,79.6507,1348.0267,1541.6868,1567.0867,26.2087,0.8088,25.3999,2.0,win,81.23,81.69,0.035754,ob_prox
2026-06-22,12:00,CRCLUSDT,SHORT,80.42,81.4741,78.3119,1016.2827,1567.0867,1572.7955,6.3186,0.6098,5.7088,0.4744,session_close,80.42,81.19,0.013179,ob_prox
2026-06-23,11:00,CRCLUSDT,SHORT,76.46,78.2621,72.8558,567.219,1572.7955,1578.39,5.9348,0.3403,5.5945,0.4439,session_close,76.46,77.98,0.014995,ob_prox
2026-06-24,14:15,CRCLUSDT,LONG,71.07,70.0516,73.1069,936.2389,1578.39,1577.0379,-0.7904,0.5617,-1.3521,-0.0589,session_close,70.34,71.07,0.01935,ob_prox
2026-06-25,12:30,CRCLUSDT,SHORT,69.62,71.1581,66.5438,606.7442,1577.0379,1583.1231,6.4492,0.364,6.0852,0.4811,session_close,69.62,70.87,0.008254,ob_prox
2026-02-10,10:15,PLTRUSDT,SHORT,143.95,145.6279,140.5942,729.23,1000.0,1016.5625,17.0,0.4375,16.5625,2.0,win,143.95,145.34,0.013467,ob_prox
2026-02-12,10:15,PLTRUSDT,SHORT,133.05,134.6461,129.8578,720.2907,1016.5625,1033.4119,17.2816,0.4322,16.8494,2.0,win,133.05,134.38,0.021158,ob_prox
2026-02-17,10:45,PLTRUSDT,LONG,130.92,128.3082,136.1437,440.3032,1033.4119,1039.9076,6.7599,0.2642,6.4957,0.7696,session_close,128.57,130.92,0.0104,ob_prox
2026-02-23,11:30,PLTRUSDT,LONG,129.91,128.1179,133.4942,640.7659,1039.9076,1041.792,2.2689,0.3845,1.8844,0.2567,session_close,128.38,129.91,0.011531,ob_prox
2026-02-25,10:15,PLTRUSDT,LONG,133.5,132.1905,136.1189,902.7999,1041.792,1045.7136,4.4633,0.5417,3.9216,0.504,session_close,132.46,133.5,0.024023,ob_prox
2026-02-27,11:30,PLTRUSDT,SHORT,136.37,137.6206,133.8687,969.2048,1045.7136,1039.5174,-5.6147,0.5815,-6.1962,-0.6317,session_close,136.37,137.35,0.013841,ob_prox
2026-03-03,12:45,PLTRUSDT,LONG,145.75,144.3312,148.5877,907.6634,1039.5174,1048.1896,9.2168,0.5446,8.6722,1.0431,session_close,144.62,145.75,0.016759,ob_prox
2026-03-05,12:45,PLTRUSDT,SHORT,151.84,153.0466,149.4267,1121.1611,1048.1896,1038.6073,-8.9096,0.6727,-9.5823,-1.0,loss,151.84,152.74,0.011657,ob_prox
2026-03-06,11:00,PLTRUSDT,LONG,155.28,152.6511,160.5378,521.4533,1038.6073,1055.9507,17.6563,0.3129,17.3434,2.0,win,152.98,155.28,0.015514,ob_prox
2026-03-09,10:00,PLTRUSDT,SHORT,155.72,156.7308,153.6984,1382.7484,1055.9507,1073.0723,17.9512,0.8296,17.1216,2.0,win,155.72,156.43,0.010401,ob_prox
2026-03-23,11:30,PLTRUSDT,SHORT,158.28,159.772,155.296,967.6284,1073.0723,1063.3706,-9.1211,0.5806,-9.7017,-1.0,loss,158.28,159.5,0.009602,ob_prox
2026-03-24,11:15,PLTRUSDT,LONG,153.74,151.4493,158.3214,606.6269,1063.3706,1067.347,4.3404,0.364,3.9764,0.4802,session_close,151.74,153.74,0.008266,ob_prox
2026-03-27,12:30,PLTRUSDT,SHORT,143.54,145.5677,139.4845,642.2226,1067.347,1068.8409,1.8792,0.3853,1.4939,0.2071,session_close,143.54,145.26,0.010744,ob_prox
2026-03-31,11:00,PLTRUSDT,LONG,142.26,140.9765,144.827,1006.986,1068.8409,1086.407,18.1703,0.6042,17.5661,2.0,win,141.29,142.26,0.013767,ob_prox
2026-04-01,10:45,PLTRUSDT,LONG,146.8,145.1705,150.059,831.9294,1086.407,1084.151,-1.7568,0.4992,-2.256,-0.1902,session_close,145.48,146.8,0.008293,ob_prox
2026-04-06,13:00,PLTRUSDT,SHORT,148.46,149.1177,147.1445,2079.9885,1084.151,1090.8889,7.9859,1.248,6.7379,0.8666,session_close,148.46,148.86,0.00878,ob_prox
2026-04-08,10:45,PLTRUSDT,SHORT,147.43,149.2126,143.8647,766.869,1090.8889,1108.9739,18.5451,0.4601,18.085,2.0,win,147.43,148.89,0.026283,ob_prox
2026-04-13,10:45,PLTRUSDT,LONG,132.75,130.9699,136.3102,702.9511,1108.9739,1106.7517,-1.8004,0.4218,-2.2222,-0.191,session_close,131.3,132.75,0.029615,ob_prox
2026-04-14,09:30,PLTRUSDT,LONG,135.55,134.1234,138.4032,893.8456,1106.7517,1107.4024,1.187,0.5363,0.6507,0.1262,session_close,134.45,135.55,0.018968,ob_prox
2026-04-15,10:15,PLTRUSDT,LONG,138.22,136.6773,141.3054,843.3745,1107.4024,1125.7222,18.8258,0.506,18.3198,2.0,win,137.01,138.22,0.008635,ob_prox
2026-04-16,09:45,PLTRUSDT,SHORT,143.63,144.7577,141.3745,1218.6759,1125.7222,1131.7789,6.7879,0.7312,6.0567,0.7094,session_close,143.63,144.43,0.028457,ob_prox
2026-04-17,10:00,PLTRUSDT,LONG,146.73,144.714,150.7621,700.1649,1131.7789,1130.2613,-1.0975,0.4201,-1.5176,-0.1141,session_close,145.04,146.73,0.014215,ob_prox
2026-04-20,13:15,PLTRUSDT,LONG,145.23,144.4946,146.7009,1897.208,1130.2613,1138.6593,9.5363,1.1383,8.398,0.9926,session_close,144.78,145.23,0.009059,ob_prox
2026-04-23,12:45,PLTRUSDT,SHORT,142.87,143.9063,140.7975,1334.3917,1138.6593,1157.2159,19.3572,0.8006,18.5566,2.0,win,142.87,143.6,0.01692,ob_prox
2026-04-30,12:15,PLTRUSDT,SHORT,139.15,140.2857,136.8787,1205.2216,1157.2159,1156.666,0.1732,0.7231,-0.5499,0.0176,session_close,139.15,140.02,0.010866,ob_prox
2026-05-04,13:15,PLTRUSDT,LONG,147.35,146.6548,148.7403,2083.9786,1156.666,1145.5839,-9.8317,1.2504,-11.0821,-1.0,loss,146.91,147.35,0.012205,ob_prox
2026-05-05,10:15,PLTRUSDT,SHORT,137.83,139.8766,133.7368,655.774,1145.5839,1153.6118,8.4214,0.3935,8.0279,0.8648,session_close,137.83,139.6,0.042929,ob_prox
2026-05-07,12:45,PLTRUSDT,SHORT,137.51,139.1559,134.2182,819.2294,1153.6118,1155.0267,1.9064,0.4915,1.4149,0.1944,session_close,137.51,138.87,0.012395,ob_prox
2026-05-08,10:45,PLTRUSDT,LONG,136.58,132.8673,144.0054,361.1665,1155.0267,1158.3534,3.5434,0.2167,3.3267,0.3609,session_close,133.15,136.58,0.018862,ob_prox
2026-05-11,12:15,PLTRUSDT,LONG,134.91,133.9693,136.7914,1412.0306,1158.3534,1177.1982,19.692,0.8472,18.8448,2.0,win,134.22,134.91,0.010711,ob_prox
2026-05-14,10:00,PLTRUSDT,LONG,131.88,130.4969,134.6463,954.0759,1177.1982,1190.8776,14.2518,0.5724,13.6794,1.4243,session_close,130.76,131.88,0.011338,ob_prox
2026-05-15,12:15,PLTRUSDT,LONG,134.43,133.2668,136.7564,1169.8471,1190.8776,1187.1299,-3.0458,0.7019,-3.7477,-0.3009,session_close,133.53,134.43,0.013386,ob_prox
2026-05-18,11:00,PLTRUSDT,SHORT,134.23,136.037,130.6161,749.5788,1187.1299,1181.1518,-5.5284,0.4497,-5.9781,-0.5479,session_close,134.23,135.8,0.013998,ob_prox
2026-05-26,10:45,PLTRUSDT,LONG,135.92,134.9871,137.7858,1462.7506,1181.1518,1200.3537,20.0796,0.8777,19.2019,2.0,win,135.21,135.92,0.012141,ob_prox
2026-05-27,10:30,PLTRUSDT,LONG,133.57,131.6272,137.4556,701.4679,1200.3537,1194.9437,-4.9891,0.4209,-5.41,-0.489,session_close,131.85,133.57,0.014089,ob_prox
2026-05-28,10:45,PLTRUSDT,LONG,138.36,136.5593,141.9614,780.4277,1194.9437,1214.7894,20.314,0.4683,19.8457,2.0,win,136.81,138.36,0.020069,ob_prox
2026-06-01,12:00,PLTRUSDT,LONG,160.66,159.6432,162.6937,1631.4561,1214.7894,1234.4619,20.6514,0.9789,19.6725,2.0,win,159.94,160.66,0.014875,ob_prox
2026-06-03,10:30,PLTRUSDT,SHORT,145.92,147.0143,143.7313,1399.1519,1234.4619,1254.6083,20.9859,0.8395,20.1464,2.0,win,145.92,146.68,0.028232,ob_prox
2026-06-05,12:00,PLTRUSDT,SHORT,137.4,138.292,135.6161,1642.735,1254.6083,1274.951,21.3283,0.9856,20.3427,2.0,win,137.4,137.95,0.011375,ob_prox
2026-06-08,11:15,PLTRUSDT,SHORT,136.65,137.6193,134.7115,1527.8572,1274.951,1275.8232,1.7889,0.9167,0.8722,0.1651,session_close,136.65,137.31,0.008274,ob_prox
2026-06-11,12:00,PLTRUSDT,LONG,129.69,127.7091,133.6517,710.0026,1275.8232,1283.2259,7.8287,0.426,7.4027,0.7219,session_close,128.02,129.69,0.014967,ob_prox
2026-06-24,09:30,PLTRUSDT,LONG,114.37,113.1895,116.731,1056.7363,1283.2259,1271.6845,-10.9074,0.634,-11.5414,-1.0,loss,113.46,114.37,0.024467,ob_prox
2026-06-26,14:45,PLTRUSDT,SHORT,113.19,114.0894,111.3912,1360.3333,1271.6845,1273.0316,2.1633,0.8162,1.3471,0.2001,session_close,113.19,113.8,0.009431,ob_prox
2026-06-29,11:00,PLTRUSDT,SHORT,116.43,118.4394,112.4113,626.9969,1273.0316,1276.1558,3.5004,0.3762,3.1242,0.3235,session_close,116.43,118.18,0.010901,ob_prox
2026-04-02,09:45,NVDAUSDT,LONG,173.66,171.1027,178.7746,577.2097,1000.0,1011.8188,12.1651,0.3463,11.8188,1.4312,session_close,171.45,173.66,0.017839,ob_prox
2026-04-20,11:00,NVDAUSDT,SHORT,199.42,200.6625,196.935,1380.3797,1011.8188,1002.3901,-8.6005,0.8282,-9.4287,-1.0,loss,199.42,200.44,0.008937,ob_prox
2026-04-24,14:15,NVDAUSDT,SHORT,209.34,210.2216,207.5767,2023.108,1002.3901,1009.4874,8.3112,1.2139,7.0973,0.9755,session_close,209.34,209.97,0.008467,ob_prox
2026-05-01,14:45,NVDAUSDT,SHORT,199.96,200.7256,198.4288,2241.1125,1009.4874,1022.1525,14.0098,1.3447,12.6651,1.6327,session_close,199.96,200.42,0.008239,ob_prox
2026-05-04,10:15,NVDAUSDT,SHORT,197.95,199.4888,194.8724,1117.6607,1022.1525,1038.8585,17.3766,0.6706,16.706,2.0,win,197.95,199.21,0.008633,ob_prox
2026-05-11,10:30,NVDAUSDT,LONG,219.87,217.8245,223.961,949.1654,1038.8585,1036.6054,-1.6836,0.5695,-2.2531,-0.1907,session_close,218.12,219.87,0.02455,ob_prox
