session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-05-15,15:00,COINUSDT,SHORT,196.82,199.8146,190.8309,7.8214,14.0,14.0466,0.0513,0.0047,0.0466,0.4308,session_close,196.82,199.14,0.013867,ob_prox
2026-05-21,11:30,COINUSDT,LONG,189.65,187.4581,194.0339,10.296,14.0,14.2318,0.238,0.0062,0.2318,2.0,win,188.03,189.65,0.009268,ob_prox
2026-05-28,13:30,COINUSDT,LONG,180.56,178.7768,184.1263,12.0497,14.0,14.1062,0.1134,0.0072,0.1062,0.9534,session_close,179.3,180.56,0.008631,ob_prox
2026-05-29,11:30,COINUSDT,LONG,188.71,186.1686,193.7929,8.8361,14.0,14.012,0.0173,0.0053,0.012,0.1456,session_close,186.7,188.71,0.053253,ob_prox
2026-06-02,09:45,COINUSDT,SHORT,175.71,178.6954,169.7392,7.0039,14.0,14.0616,0.0658,0.0042,0.0616,0.5527,session_close,175.71,178.19,0.010445,ob_prox
2026-06-03,10:30,COINUSDT,SHORT,167.62,169.7601,163.3398,9.3205,14.0,14.2324,0.238,0.0056,0.2324,2.0,win,167.62,169.24,0.023409,ob_prox
2026-06-04,14:15,COINUSDT,LONG,164.58,163.4,166.9401,16.5971,14.0,13.9668,-0.0232,0.01,-0.0332,-0.1949,session_close,163.92,164.58,0.011131,ob_prox
2026-06-08,15:00,COINUSDT,SHORT,162.51,164.1419,159.2462,11.8506,14.0,14.017,0.0241,0.0071,0.017,0.2022,session_close,162.51,163.62,0.011861,ob_prox
2026-06-09,11:45,COINUSDT,SHORT,154.17,156.3481,149.8138,8.423,14.0,13.9184,-0.0765,0.0051,-0.0816,-0.6428,session_close,154.17,155.81,0.032858,ob_prox
2026-06-11,11:00,COINUSDT,SHORT,155.27,157.3105,151.1891,9.0553,14.0,13.8756,-0.119,0.0054,-0.1244,-1.0,loss,155.27,156.78,0.015152,ob_prox
2026-06-12,10:15,COINUSDT,LONG,160.56,154.2992,173.0815,3.0518,14.0,13.9838,-0.0144,0.0018,-0.0162,-0.1214,session_close,154.83,160.56,0.015538,ob_prox
2026-06-16,12:00,COINUSDT,LONG,170.11,168.4907,173.3487,12.5009,14.0,13.9477,-0.0448,0.0075,-0.0523,-0.3767,session_close,168.97,170.11,0.013136,ob_prox
2026-06-18,12:15,COINUSDT,SHORT,163.98,165.4266,161.0868,13.4895,14.0,14.2299,0.238,0.0081,0.2299,2.0,win,163.98,164.95,0.018401,ob_prox
2026-06-22,14:45,COINUSDT,SHORT,165.12,166.2078,162.9443,18.0628,14.0,13.9958,0.0066,0.0108,-0.0042,0.0552,session_close,165.12,165.77,0.00934,ob_prox
2026-06-23,13:00,COINUSDT,SHORT,160.01,161.8777,156.2747,10.1952,14.0,14.1035,0.1096,0.0061,0.1035,0.9209,session_close,160.01,161.44,0.010123,ob_prox
2026-06-24,12:30,COINUSDT,SHORT,152.08,153.3398,149.5604,14.3654,14.0,14.1633,0.1719,0.0086,0.1633,1.4447,session_close,152.08,152.89,0.021432,ob_prox
2026-06-25,15:00,COINUSDT,SHORT,142.73,144.3461,139.4977,10.5096,14.0,13.9915,-0.0022,0.0063,-0.0085,-0.0186,session_close,142.73,143.88,0.021941,ob_prox
2026-06-29,11:15,COINUSDT,LONG,148.01,146.3329,151.3642,10.5022,14.0,14.2317,0.238,0.0063,0.2317,2.0,win,146.76,148.01,0.014476,ob_prox
2026-02-09,11:30,CRCLUSDT,LONG,59.25,58.2115,61.327,6.7894,14.0,14.0933,0.0974,0.0041,0.0933,0.8185,session_close,58.33,59.25,0.009357,ob_prox
2026-02-10,10:15,CRCLUSDT,LONG,60.65,59.5387,62.8726,6.4945,14.0,13.9094,-0.0867,0.0039,-0.0906,-0.7289,session_close,59.66,60.65,0.024146,ob_prox
2026-02-11,13:45,CRCLUSDT,LONG,57.02,56.556,57.9481,14.6224,14.0,14.2292,0.238,0.0088,0.2292,2.0,win,56.67,57.02,0.012361,ob_prox
2026-02-12,10:15,CRCLUSDT,SHORT,57.69,58.5054,56.0592,8.4195,14.0,14.2329,0.238,0.0051,0.2329,2.0,win,57.69,58.39,0.0157,ob_prox
2026-02-19,10:00,CRCLUSDT,SHORT,61.13,62.9923,57.4055,3.9063,14.0,13.9447,-0.053,0.0023,-0.0553,-0.4457,session_close,61.13,62.87,0.023544,ob_prox
2026-02-20,12:00,CRCLUSDT,SHORT,64.16,64.7183,63.0434,13.675,14.0,14.2298,0.238,0.0082,0.2298,2.0,win,64.16,64.59,0.019154,ob_prox
2026-02-23,10:00,CRCLUSDT,SHORT,61.78,63.0735,59.193,5.6836,14.0,14.0472,0.0506,0.0034,0.0472,0.4252,session_close,61.78,62.89,0.011909,ob_prox
2026-02-24,09:30,CRCLUSDT,LONG,60.56,60.1675,61.3449,18.3622,14.0,14.227,0.238,0.011,0.227,2.0,win,60.35,60.56,0.018803,ob_prox
2026-02-25,10:45,CRCLUSDT,LONG,74.44,70.9128,81.4944,2.5114,14.0,14.2365,0.238,0.0015,0.2365,2.0,win,71.16,74.44,0.016726,ob_prox
2026-02-26,14:30,CRCLUSDT,LONG,86.53,84.4158,90.7585,4.8703,14.0,14.0421,0.045,0.0029,0.0421,0.3784,session_close,84.68,86.53,0.008434,ob_prox
2026-03-02,14:15,CRCLUSDT,LONG,95.08,94.228,96.7841,13.2792,14.0,14.1568,0.1648,0.008,0.1568,1.3849,session_close,94.53,95.08,0.020775,ob_prox
2026-03-03,09:45,CRCLUSDT,LONG,92.94,91.0766,96.6667,5.9354,14.0,14.2344,0.238,0.0036,0.2344,2.0,win,91.41,92.94,0.017123,ob_prox
2026-03-06,13:00,CRCLUSDT,LONG,101.89,100.145,105.3801,6.9482,14.0,14.0088,0.013,0.0042,0.0088,0.1089,session_close,100.49,101.89,0.009896,ob_prox
2026-03-10,09:45,CRCLUSDT,LONG,115.09,112.654,119.962,5.6222,14.0,14.2346,0.238,0.0034,0.2346,2.0,win,113.02,115.09,0.01724,ob_prox
2026-03-12,12:45,CRCLUSDT,SHORT,114.59,116.6103,110.5494,6.7496,14.0,14.026,0.03,0.004,0.026,0.2524,session_close,114.59,116.23,0.017012,ob_prox
2026-03-13,10:15,CRCLUSDT,SHORT,116.72,119.7362,110.6877,4.6051,14.0,14.0509,0.0537,0.0028,0.0509,0.4509,session_close,116.72,119.36,0.00829,ob_prox
2026-03-16,10:00,CRCLUSDT,LONG,123.85,119.9339,131.6822,3.7635,14.0,14.0579,0.0602,0.0023,0.0579,0.5056,session_close,120.29,123.85,0.026407,ob_prox
