symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
CRCL,open,2026-07-02 12:34:00,2026-07-03 00:34:00,SHORT,65.0685,,17.2845,,,,
MSTR,close,2026-07-02 12:36:00,2026-07-03 00:36:00,SHORT,98.0322,98.9094,22.2706,loss,-0.1993,0.0178,-0.2171
SNDK,close,2026-07-02 12:40:00,2026-07-03 00:40:00,SHORT,1780.9082,1772.4256,22.6444,win,0.1079,0.0181,0.0898
CRCL,close,2026-07-02 12:40:00,2026-07-03 00:40:00,SHORT,65.0685,65.6536,17.2845,loss,-0.1554,0.0138,-0.1692
SOXL,close,2026-07-02 12:40:00,2026-07-03 00:40:00,SHORT,182.0684,180.6634,28.1537,win,0.2173,0.0225,0.1948
INTC,close,2026-07-02 12:40:00,2026-07-03 00:40:00,SHORT,121.6199,120.849,17.7059,win,0.1122,0.0142,0.098
COIN,close,2026-07-02 12:41:00,2026-07-03 00:41:00,SHORT,164.5101,164.9408,16.7948,loss,-0.044,0.0134,-0.0574
HOOD,close,2026-07-02 12:42:00,2026-07-03 00:42:00,SHORT,112.5706,112.1557,15.0541,win,0.0555,0.012,0.0435
MSTR,open,2026-07-02 12:48:00,2026-07-03 00:48:00,LONG,100.2528,,22.04,,,,
SOXL,open,2026-07-02 12:50:00,2026-07-03 00:50:00,SHORT,179.0559,,28.3607,,,,
SNDK,open,2026-07-02 12:50:00,2026-07-03 00:50:00,SHORT,1760.9051,,22.7398,,,,
SOXL,close,2026-07-02 12:51:00,2026-07-03 00:51:00,SHORT,179.0559,180.1894,28.3607,loss,-0.1795,0.0227,-0.2022
INTC,open,2026-07-02 12:55:00,2026-07-03 00:55:00,SHORT,119.9,,17.8101,,,,
SOXL,open,2026-07-02 12:56:00,2026-07-03 00:56:00,SHORT,177.3015,,28.1458,,,,
MSTR,close,2026-07-02 12:57:00,2026-07-03 00:57:00,LONG,100.2528,99.6858,22.04,loss,-0.1247,0.0176,-0.1423
SOXL,close,2026-07-02 13:02:00,2026-07-03 01:02:00,SHORT,177.3015,177.0933,28.1458,win,0.033,0.0225,0.0105
SNDK,close,2026-07-02 13:05:00,2026-07-03 01:05:00,SHORT,1760.9051,1760.8984,22.7398,win,0.0001,0.0182,-0.0181
INTC,close,2026-07-02 13:05:00,2026-07-03 01:05:00,SHORT,119.9,120.5364,17.8101,loss,-0.0945,0.0142,-0.1087
MSTR,open,2026-07-02 13:06:00,2026-07-03 01:06:00,LONG,100.6663,,21.8888,,,,
SOXL,open,2026-07-02 13:10:00,2026-07-03 01:10:00,SHORT,175.715,,28.157,,,,
MSTR,close,2026-07-02 13:11:00,2026-07-03 01:11:00,LONG,100.6663,99.92,21.8888,loss,-0.1623,0.0175,-0.1798
CRCL,open,2026-07-02 13:11:00,2026-07-03 01:11:00,SHORT,64.8812,,17.1048,,,,
SOXL,close,2026-07-02 13:14:00,2026-07-03 01:14:00,SHORT,175.715,177.0227,28.157,loss,-0.2095,0.0225,-0.232
CRCL,close,2026-07-02 13:22:00,2026-07-03 01:22:00,SHORT,64.8812,65.3914,17.1048,loss,-0.1345,0.0137,-0.1482
MSTR,open,2026-07-02 13:22:00,2026-07-03 01:22:00,LONG,100.9766,,21.6977,,,,
MSTR,close,2026-07-02 13:26:00,2026-07-03 01:26:00,LONG,100.9766,100.2598,21.6977,loss,-0.154,0.0174,-0.1714
SNDK,open,2026-07-02 13:34:00,2026-07-03 01:34:00,SHORT,1736.9585,,22.7206,,,,
INTC,open,2026-07-02 13:35:00,2026-07-03 01:35:00,SHORT,119.0866,,17.6946,,,,
CRCL,open,2026-07-02 13:37:00,2026-07-03 01:37:00,SHORT,64.6907,,16.9473,,,,
SOXL,open,2026-07-02 13:38:00,2026-07-03 01:38:00,SHORT,173.0311,,27.9105,,,,
SOXL,close,2026-07-02 13:41:00,2026-07-03 01:41:00,SHORT,173.0311,174.5216,27.9105,loss,-0.2404,0.0223,-0.2627
SNDK,close,2026-07-02 13:41:00,2026-07-03 01:41:00,SHORT,1736.9585,1740.3653,22.7206,loss,-0.0446,0.0182,-0.0628
SNDK,open,2026-07-02 13:46:00,2026-07-03 01:46:00,SHORT,1725.6262,,22.6539,,,,
SOXL,open,2026-07-02 13:47:00,2026-07-03 01:47:00,SHORT,172.0219,,27.6314,,,,
INTC,close,2026-07-02 13:54:00,2026-07-03 01:54:00,SHORT,119.0866,119.538,17.6946,loss,-0.0671,0.0142,-0.0813
SOXL,close,2026-07-02 13:54:00,2026-07-03 01:54:00,SHORT,172.0219,172.8576,27.6314,loss,-0.1342,0.0221,-0.1563
CRCL,close,2026-07-02 13:54:00,2026-07-03 01:54:00,SHORT,64.6907,64.8266,16.9473,loss,-0.0356,0.0136,-0.0492
SNDK,close,2026-07-02 14:01:00,2026-07-03 02:01:00,SHORT,1725.6262,1727.164,22.6539,loss,-0.0202,0.0181,-0.0383
COIN,open,2026-07-02 14:06:00,2026-07-03 02:06:00,LONG,165.6035,,16.7338,,,,
SOXL,open,2026-07-02 14:10:00,2026-07-03 02:10:00,LONG,178.5443,,27.4653,,,,
SOXL,close,2026-07-02 14:13:00,2026-07-03 02:13:00,LONG,178.5443,176.458,27.4653,loss,-0.3209,0.022,-0.3429
COIN,close,2026-07-02 14:17:00,2026-07-03 02:17:00,LONG,165.6035,164.1435,16.7338,loss,-0.1475,0.0134,-0.1609
HOOD,open,2026-07-02 14:28:00,2026-07-03 02:28:00,LONG,112.7613,,15.1004,,,,
MSTR,open,2026-07-02 14:33:00,2026-07-03 02:33:00,LONG,101.5162,,21.5156,,,,
COIN,open,2026-07-02 14:33:00,2026-07-03 02:33:00,LONG,165.9013,,16.5629,,,,
CRCL,open,2026-07-02 14:33:00,2026-07-03 02:33:00,LONG,65.5582,,16.895,,,,
SOXL,open,2026-07-02 14:33:00,2026-07-03 02:33:00,LONG,179.5506,,27.101,,,,
SOXL,close,2026-07-02 14:36:00,2026-07-03 02:36:00,LONG,179.5506,176.6116,27.101,loss,-0.4436,0.0217,-0.4653
MSTR,close,2026-07-02 14:45:00,2026-07-03 02:45:00,LONG,101.5162,100.8657,21.5156,loss,-0.1379,0.0172,-0.1551
SNDK,open,2026-07-02 14:52:00,2026-07-03 02:52:00,LONG,1759.0733,,22.6132,,,,
CRCL,close,2026-07-02 14:56:00,2026-07-03 02:56:00,LONG,65.5582,64.9832,16.895,loss,-0.1482,0.0135,-0.1617
SNDK,close,2026-07-02 14:56:00,2026-07-03 02:56:00,LONG,1759.0733,1744.4819,22.6132,loss,-0.1876,0.0181,-0.2057
CRCL,open,2026-07-02 15:02:00,2026-07-03 03:02:00,SHORT,64.6633,,16.7232,,,,
HOOD,close,2026-07-02 15:03:00,2026-07-03 03:03:00,LONG,112.7613,112.8034,15.1004,win,0.0056,0.0121,-0.0065
INTC,open,2026-07-02 15:05:00,2026-07-03 03:05:00,SHORT,118.8224,,17.6082,,,,
COIN,close,2026-07-02 15:05:00,2026-07-03 03:05:00,LONG,165.9013,165.1846,16.5629,loss,-0.0716,0.0133,-0.0849
SOXL,open,2026-07-02 15:07:00,2026-07-03 03:07:00,SHORT,171.454,,26.6066,,,,
SOXL,close,2026-07-02 15:12:00,2026-07-03 03:12:00,SHORT,171.454,172.4945,26.6066,loss,-0.1615,0.0213,-0.1828
MSTR,open,2026-07-02 15:20:00,2026-07-03 03:20:00,SHORT,100.0243,,21.3508,,,,
HOOD,open,2026-07-02 15:20:00,2026-07-03 03:20:00,SHORT,111.9444,,15.0934,,,,
SOXL,open,2026-07-02 15:22:00,2026-07-03 03:22:00,SHORT,170.3993,,26.4124,,,,
SNDK,open,2026-07-02 15:22:00,2026-07-03 03:22:00,SHORT,1709.0236,,22.3946,,,,
SOXL,close,2026-07-02 15:27:00,2026-07-03 03:27:00,SHORT,170.3993,171.2339,26.4124,loss,-0.1294,0.0211,-0.1505
INTC,close,2026-07-02 15:28:00,2026-07-03 03:28:00,SHORT,118.8224,118.7009,17.6082,win,0.018,0.0141,0.0039
SNDK,close,2026-07-02 15:28:00,2026-07-03 03:28:00,SHORT,1709.0236,1718.037,22.3946,loss,-0.1181,0.0179,-0.136
MSTR,close,2026-07-02 15:29:00,2026-07-03 03:29:00,SHORT,100.0243,100.689,21.3508,loss,-0.1419,0.0171,-0.159
HOOD,close,2026-07-02 15:34:00,2026-07-03 03:34:00,SHORT,111.9444,112.6802,15.0934,loss,-0.0992,0.0121,-0.1113
CRCL,close,2026-07-02 15:43:00,2026-07-03 03:43:00,SHORT,64.6633,64.4232,16.7232,win,0.0621,0.0134,0.0487
SOXL,open,2026-07-02 15:54:00,2026-07-03 03:54:00,LONG,179.5938,,26.2525,,,,
SOXL,close,2026-07-02 15:55:00,2026-07-03 03:55:00,LONG,179.5938,178.8405,26.2525,eod,-0.1101,0.021,-0.1311
SOXL,open,2026-07-02 15:56:00,2026-07-03 03:56:00,LONG,180.016,,26.1132,,,,
SNDK,open,2026-07-02 15:57:00,2026-07-03 03:57:00,LONG,1750.0337,,22.2501,,,,
INTC,open,2026-07-02 15:57:00,2026-07-03 03:57:00,LONG,120.1788,,17.6123,,,,
SOXL,close,2026-07-02 15:57:00,2026-07-03 03:57:00,LONG,180.016,180.6096,26.1132,eod,0.0861,0.0209,0.0652
INTC,close,2026-07-02 15:58:00,2026-07-03 03:58:00,LONG,120.1788,119.92,17.6123,eod,-0.0379,0.0141,-0.052
CRCL,open,2026-07-02 15:58:00,2026-07-03 03:58:00,LONG,64.903,,16.775,,,,
SNDK,close,2026-07-02 15:58:00,2026-07-03 03:58:00,LONG,1750.0337,1748.9651,22.2501,eod,-0.0136,0.0178,-0.0314
CRCL,close,2026-07-02 15:59:00,2026-07-03 03:59:00,LONG,64.903,64.7076,16.775,eod,-0.0505,0.0134,-0.0639
