session_date,side,entry,exit,sl,notional_usdt,pnl_usdt_gross,fee_usdt,pnl_usdt,outcome,hold_minutes,wallet_after,entry_ms
2026-05-20,LONG,196.2855,195.0371,192.3598,1164.6555,-7.4071,0.9317,-8.3388,loss,49.0,2732.027,1779298560000
2026-05-20,SHORT,194.8895,189.6854,198.7873,1161.1115,31.0048,0.9289,30.0759,win,1145.0,2762.1029,1779301560000
2026-05-21,SHORT,190.813,190.4414,194.6293,1173.8937,2.286,0.9391,1.3469,win,18.0,2763.4498,1779370560000
2026-05-21,SHORT,188.6876,189.3528,192.4614,1174.4662,-4.1404,0.9396,-5.08,loss,10.0,2758.3698,1779373200000
2026-05-21,LONG,191.8181,194.2733,187.9818,1172.3072,15.0048,0.9378,14.067,win,98.0,2772.4368,1779383400000
2026-05-21,SHORT,193.3213,194.2416,197.1877,1178.2856,-5.6094,0.9426,-6.552,loss,3.0,2765.8848,1779389640000
2026-05-22,LONG,194.8549,193.8368,190.9578,1175.501,-6.1419,0.9404,-7.0823,loss,5.0,2758.8025,1779456660000
2026-05-22,SHORT,190.8469,188.3146,194.6638,1172.4911,15.5574,0.938,14.6194,win,14.0,2773.4219,1779459300000
2026-05-22,SHORT,188.3141,189.1814,192.0804,1178.7043,-5.429,0.943,-6.372,loss,10.0,2767.0499,1779460260000
2026-05-22,LONG,190.0863,188.9264,186.2846,1175.9962,-7.1758,0.9408,-8.1166,loss,22.0,2758.9333,1779470940000
2026-05-22,SHORT,188.1466,186.2784,191.9095,1172.5467,11.6428,0.938,10.7048,win,5493.0,2769.6381,1779472620000
2026-05-26,LONG,186.5477,185.9901,182.8168,1177.0962,-3.5186,0.9417,-4.4603,loss,5.0,2765.1778,1779802260000
2026-05-26,SHORT,184.251,185.6232,187.9361,1175.2006,-8.7519,0.9402,-9.6921,loss,3.0,2755.4857,1779803100000
2026-05-26,SHORT,184.018,185.2805,187.6984,1171.0814,-8.0344,0.9369,-8.9713,loss,39.0,2746.5144,1779810840000
2026-05-26,SHORT,183.7556,184.9579,187.4307,1167.2686,-7.6374,0.9338,-8.5712,loss,20.0,2737.9432,1779814200000
2026-05-26,SHORT,183.1038,176.8738,186.7659,1163.6259,39.5918,0.9309,38.6609,win,1204.0,2776.6041,1779816420000
