day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-06-30,CRCL,13:25,down,63.89,67.96,67.96,64.23,5.84,88.4,88.4,-0.23,-,-0.31,-,0.47,+,N
2026-06-30,CRCL,13:50,down,63.79,66.43,66.43,63.87,4.01,88.5,88.5,-0.16,-,0.41,+,0.45,+,N
2026-06-30,CRCL,14:20,down,63.44,66.37,66.37,63.45,4.6,88.6,88.6,-0.43,-,-0.16,-,1.01,+,N
2026-06-30,CRCL,15:15,down,63.33,65.36,65.36,63.38,3.13,88.6,88.6,-0.22,-,0.27,+,0.84,+,N
2026-06-30,CRCL,15:35,down,63.16,64.6,64.6,63.17,2.26,88.7,88.7,-0.11,-,0.57,+,0.57,+,N
2026-06-30,CRCL,15:45,down,63.03,64.15,64.15,63.14,1.6,88.7,88.7,0.27,+,0.36,+,0.36,+,N
2026-06-30,CRCL,15:50,down,62.86,64.12,64.12,63.03,1.73,88.8,88.8,0.1,+,0.1,+,0.1,+,N
2026-07-01,CRCL,09:55,up,64.68,61.1,64.56,61.1,5.35,85.3,85.3,1.53,+,1.99,+,0.46,+,N
2026-07-01,CRCL,10:00,up,65.67,61.87,65.1,61.87,4.92,85.4,85.4,-0.5,-,0.17,+,-0.96,-,N
2026-07-01,CRCL,10:15,up,65.97,61.87,65.85,61.87,6.03,85.5,85.5,-0.29,-,-1.65,-,-0.09,-,N
2026-07-01,CRCL,12:05,up,66.11,61.87,66.07,61.87,6.35,85.6,85.6,-0.03,-,-0.48,-,-3.01,-,N
2026-07-01,CRCL,14:40,down,63.37,66.13,66.13,63.4,4.31,88.7,88.7,0.25,+,0.95,+,1.93,+,N
2026-07-01,CRCL,14:45,down,63.21,65.92,65.92,63.35,4.07,88.7,88.7,0.63,+,0.08,+,1.68,+,N
2026-07-01,CRCL,14:50,down,62.81,65.87,65.87,63.16,4.31,88.8,88.8,0.19,+,-1.35,-,1.05,+,N
2026-07-01,CRCL,14:55,down,62.69,65.62,65.62,62.77,4.55,88.9,88.9,-0.13,-,-1.24,-,0.86,+,N
2026-07-01,CRCL,15:50,down,62.46,65.13,65.13,62.69,3.91,88.9,88.9,0.5,+,0.5,+,0.5,+,N
2026-07-01,CRCL,15:55,down,62.15,64.47,64.47,62.43,3.28,89.0,89.0,0.0,-,0.0,-,0.0,-,N
2026-07-02,CRCL,09:30,up,66.89,62.96,64.87,62.96,2.86,85.5,85.5,0.85,+,0.67,+,-1.75,-,N
2026-07-02,CRCL,09:40,up,68.03,63.05,67.6,63.05,6.69,85.6,85.6,-0.43,-,-0.04,-,-3.03,-,N
2026-07-02,CRCL,10:10,up,68.87,63.05,68.22,63.05,7.51,85.7,85.7,-1.41,-,-2.11,-,-4.2,-,N
2026-06-25,COIN,09:30,down,150.12,153.86,153.86,150.31,2.36,86.3,86.3,1.25,+,3.5,+,2.96,+,N
2026-06-25,COIN,09:35,down,148.24,153.86,153.86,148.82,3.4,86.4,86.4,0.94,+,2.54,+,1.68,+,N
